,0,1
1297,outro,VBP
1298,acabava,JJ
1299,Não,NNP
1300,falo,NN
1301,casos,NN
1302,monomania,NN
1303,religiosa,NN
1304,apenas,NNS
1305,citarei,VBP
1306,sujeito,JJ
1307,chamando,NN
1308,João,NNP
1309,Deus,NNP
1310,dizia,NN
1311,agora,NNS
1312,ser,VBP
1313,deus,JJ
1314,João,NNP
1315,prometia,NN
1316,reino,NN
1317,céus,NN
1318,adorasse,NN
1319,penas,NN
1320,inferno,NN
1321,outros,IN
1322,desse,JJ
1323,licenciado,NN
1324,Garcia,NNP
1325,dizia,NN
1326,nada,NN
1327,porque,NN
1328,imaginava,JJ
1329,dia,NN
1330,chegasse,NN
1331,proferir,NN
1332,palavra,NN
1333,todas,NN
1334,estrelas,VBP
1335,despegariam,NN
1336,céu,NN
1337,abrasariam,JJ
1338,terra,NN
1339,tal,JJ
1340,poder,NN
1341,recebera,NN
1342,Deus,NNP
1343,Assim,NNP
1344,escrevia,NN
1345,papel,NN
1346,alienista,NN
1347,mandava,NN
1348,dar,NN
1349,menos,NNS
1350,caridade,VBP
1351,interesse,JJ
1352,científico,NN
1353,Que,NNP
1354,verdade,VBD
1355,paciência,JJ
1356,alienista,NN
1357,ainda,NN
1358,extraordinária,NN
1359,todas,NN
1360,manias,NN
1361,hospedadas,VBP
1362,Casa,NNP
1363,Verde,NNP
1364,nada,MD
1365,menos,VB
1366,assombrosa,JJ
1367,Simão,NNP
1368,Bacamarte,NNP
1369,começou,NN
1370,organizar,NN
1371,pessoal,NN
1372,administração,NN
1373,aceitando,NN
1374,idéia,NN
1375,boticário,NN
1376,Crispim,NNP
1377,Soares,NNP
1378,aceitou,VBZ
1379,dois,JJ
1380,sobrinhos,NN
1381,incumbiu,NN
1382,execução,NN
1383,regimento,NN
1384,deu,NN
1385,aprovado,NN
1386,Câmara,NNP
1387,distribuição,NN
1388,comida,NN
1389,roupa,NN
1390,assim,NN
1391,escrita,JJ
1392,etc,NN
1393,Era,NNP
1394,melhor,NN
1395,podia,NN
1396,fazer,NN
1397,somente,NN
1398,cuidar,NN
1399,ofício,NN
1400,Casa,NNP
1401,Verde,NNP
1402,disse,NN
1403,vigário,NN
1404,agora,IN
1405,espécie,FW
1406,mundo,FW
1407,governo,FW
1408,temporal,JJ
1409,governo,NN
1410,espiritual,JJ
1411,Padre,NNP
1412,Lopes,NNP
1413,ria,NN
1414,deste,NN
1415,pio,NN
1416,trocado,NN
1417,acrescentava,NN
1418,único,NNP
1419,fim,NN
1420,dizer,NN
1421,chalaça,NN
